"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2023","1,855.94","1,817.39","1,868.88","1,815.40","397.99K","2.13%"
"05/22/2023","1,817.17","1,804.36","1,827.36","1,792.33","237.51K","0.68%"
"05/21/2023","1,804.90","1,820.28","1,827.45","1,799.00","161.59K","-0.81%"
"05/20/2023","1,819.66","1,812.31","1,828.04","1,807.06","127.68K","0.41%"
"05/19/2023","1,812.31","1,800.09","1,829.33","1,796.95","243.26K","0.63%"
"05/18/2023","1,800.95","1,822.93","1,831.50","1,774.82","293.73K","-1.16%"
"05/17/2023","1,822.11","1,824.36","1,834.41","1,785.76","352.10K","-0.10%"
"05/16/2023","1,823.95","1,816.13","1,829.96","1,797.59","311.43K","0.38%"
"05/15/2023","1,817.13","1,799.33","1,845.21","1,786.60","387.98K","0.99%"
"05/14/2023","1,799.33","1,794.87","1,822.91","1,791.84","218.10K","0.24%"
"05/13/2023","1,795.11","1,807.47","1,814.58","1,786.16","212.90K","-0.67%"
"05/12/2023","1,807.28","1,794.82","1,812.30","1,741.50","565.53K","0.70%"
"05/11/2023","1,794.67","1,840.96","1,841.00","1,774.29","522.10K","-2.51%"
"05/10/2023","1,840.88","1,846.63","1,886.83","1,797.00","639.92K","-0.31%"
"05/09/2023","1,846.53","1,847.16","1,858.51","1,832.05","304.42K","-0.05%"
"05/08/2023","1,847.45","1,867.22","1,883.44","1,813.75","625.74K","-1.26%"
"05/07/2023","1,870.95","1,897.36","1,931.39","1,870.94","413.17K","-1.34%"
"05/06/2023","1,896.33","1,994.20","2,012.99","1,868.05","608.16K","-4.86%"
"05/05/2023","1,993.30","1,877.26","1,996.60","1,875.66","546.55K","6.19%"
"05/04/2023","1,877.07","1,904.89","1,915.16","1,868.18","354.85K","-1.45%"
"05/03/2023","1,904.75","1,870.09","1,914.99","1,844.71","464.91K","1.87%"
"05/02/2023","1,869.74","1,830.52","1,878.61","1,823.21","373.73K","2.13%"
"05/01/2023","1,830.73","1,870.92","1,885.67","1,807.30","446.15K","-2.05%"
"04/30/2023","1,868.97","1,907.66","1,937.82","1,868.97","353.17K","-2.03%"
"04/29/2023","1,907.79","1,891.40","1,915.89","1,886.25","182.06K","0.89%"
"04/28/2023","1,890.93","1,909.01","1,922.85","1,874.99","387.63K","-0.94%"
"04/27/2023","1,908.79","1,864.69","1,937.55","1,862.43","727.45K","2.29%"
"04/26/2023","1,866.01","1,866.49","1,963.51","1,793.82","897.72K","0.00%"
"04/25/2023","1,865.92","1,842.03","1,877.53","1,804.18","457.86K","1.31%"
"04/24/2023","1,841.83","1,862.01","1,889.14","1,810.00","447.85K","-1.08%"
"04/23/2023","1,862.00","1,873.78","1,881.93","1,839.04","344.54K","-0.64%"
"04/22/2023","1,873.93","1,848.87","1,886.19","1,845.66","330.97K","1.36%"
"04/21/2023","1,848.78","1,942.62","1,955.29","1,831.95","688.90K","-4.83%"
"04/20/2023","1,942.69","1,933.94","1,977.94","1,917.73","625.74K","0.35%"
"04/19/2023","1,935.91","2,103.00","2,104.31","1,924.85","775.14K","-7.96%"
"04/18/2023","2,103.33","2,074.50","2,121.28","2,056.87","414.19K","1.38%"
"04/17/2023","2,074.75","2,118.64","2,119.20","2,062.15","426.51K","-2.10%"
"04/16/2023","2,119.36","2,089.85","2,137.66","2,073.27","319.83K","1.38%"
"04/15/2023","2,090.61","2,100.00","2,110.33","2,074.35","321.85K","-0.45%"
"04/14/2023","2,099.99","2,011.73","2,127.63","2,009.54","896.29K","4.37%"
"04/13/2023","2,012.14","1,917.67","2,018.74","1,899.96","676.18K","4.99%"
"04/12/2023","1,916.55","1,889.84","1,930.43","1,857.34","630.86K","1.41%"
"04/11/2023","1,889.87","1,910.21","1,935.76","1,884.68","405.34K","-1.07%"
"04/10/2023","1,910.36","1,858.73","1,916.53","1,847.39","434.66K","2.77%"
"04/09/2023","1,858.92","1,848.73","1,871.91","1,825.59","287.13K","0.54%"
"04/08/2023","1,848.96","1,863.49","1,879.12","1,847.74","197.96K","-0.78%"
"04/07/2023","1,863.45","1,872.12","1,882.60","1,844.42","284.29K","-0.48%"
"04/06/2023","1,872.35","1,908.84","1,908.84","1,855.92","396.09K","-1.92%"
"04/05/2023","1,908.98","1,870.66","1,936.03","1,864.63","548.58K","2.06%"
"04/04/2023","1,870.53","1,810.82","1,887.41","1,802.51","622.30K","3.30%"
"04/03/2023","1,810.79","1,794.32","1,838.69","1,764.26","628.70K","0.88%"
"04/02/2023","1,795.05","1,820.58","1,824.32","1,775.86","321.88K","-1.41%"
"04/01/2023","1,820.79","1,822.37","1,840.21","1,811.66","272.92K","-0.05%"
"03/31/2023","1,821.61","1,794.06","1,845.57","1,782.24","554.56K","1.56%"
"03/30/2023","1,793.60","1,793.07","1,828.92","1,767.01","579.68K","0.02%"
"03/29/2023","1,793.17","1,774.12","1,825.01","1,772.81","536.88K","1.16%"
"03/28/2023","1,772.64","1,714.97","1,792.27","1,702.95","536.56K","3.38%"
"03/27/2023","1,714.61","1,773.88","1,780.06","1,691.42","570.46K","-3.35%"
"03/26/2023","1,774.04","1,741.97","1,796.78","1,739.38","354.91K","1.82%"
"03/25/2023","1,742.33","1,749.40","1,761.62","1,714.43","355.71K","-0.40%"
"03/24/2023","1,749.24","1,813.60","1,818.53","1,728.64","564.85K","-3.57%"
"03/23/2023","1,814.09","1,734.57","1,852.47","1,729.35","731.98K","4.60%"
"03/22/2023","1,734.34","1,801.84","1,818.48","1,710.99","891.29K","-3.73%"
"03/21/2023","1,801.56","1,732.44","1,833.04","1,719.59","742.34K","4.00%"
"03/20/2023","1,732.31","1,782.31","1,802.79","1,723.88","682.82K","-2.69%"
"03/19/2023","1,780.15","1,759.24","1,838.84","1,758.67","541.12K","1.22%"
"03/18/2023","1,758.65","1,788.71","1,833.79","1,751.33","711.67K","-1.72%"
"03/17/2023","1,789.42","1,673.48","1,796.79","1,663.67","907.49K","6.91%"
"03/16/2023","1,673.73","1,650.01","1,689.08","1,634.15","627.98K","1.46%"
"03/15/2023","1,649.60","1,699.85","1,716.53","1,614.93","963.20K","-2.97%"
"03/14/2023","1,700.10","1,673.72","1,776.65","1,655.62","1.28M","1.57%"
"03/13/2023","1,673.83","1,582.74","1,689.97","1,565.70","1.23M","5.93%"
"03/12/2023","1,580.17","1,472.00","1,584.63","1,452.24","1.00M","7.42%"
"03/11/2023","1,471.03","1,425.97","1,475.81","1,408.41","1.37M","3.11%"
"03/10/2023","1,426.71","1,436.05","1,437.30","1,371.36","960.49K","-0.75%"
"03/09/2023","1,437.48","1,531.51","1,545.98","1,413.29","718.44K","-6.23%"
