# time, value
1.0001, -0.0685928594165
1.0002, -0.0679438383707
1.0003, -0.0673015839558
1.0004, -0.0666669491843
1.0005, -0.0660226424965
1.0006, -0.0654172612286
1.0007, -0.0647557321718
1.0008, -0.0641970827718
1.0009, -0.0635476013012
1.001, -0.0629069233314
1.0011, -0.0623799000895
1.0012, -0.0616551327428
1.0013, -0.0611261037508
1.0014, -0.0605407664798
1.0015, -0.0600365207334
1.0016, -0.0593420694321
1.0017, -0.0588465597395
1.0018, -0.0583071003197
1.0019, -0.0576717853957
1.002, -0.0571798233919
1.0021, -0.0568301502061
1.0022, -0.056321461546
1.0023, -0.0556329170504
1.0024, -0.0550227927237
1.0025, -0.0545005502767
1.0026, -0.0540561941769
1.0027, -0.0536875172337
1.0028, -0.0530354147835
1.0029, -0.0528398495927
1.003, -0.0523232075072
1.0031, -0.0518571182535
1.0032, -0.0510881846387
1.0033, -0.0507103425786
1.0034, -0.0503986261288
1.0035, -0.0497367483598
1.0036, -0.049494579266
1.0037, -0.0488794387432
1.0038, -0.0483245793418
1.0039, -0.0481929614485
1.004, -0.0477190082383
1.0041, -0.0472540377674
1.0042, -0.0467690419776
1.0043, -0.046395176073
1.0044, -0.0459891785397
1.0045, -0.0456366815654
1.0046, -0.0452357485535
1.0047, -0.0449678349123
1.0048, -0.0441702095783
1.0049, -0.0438664288955
1.005, -0.0436712932061
1.0051, -0.0434178216428
1.0052, -0.0426603215308
1.0053, -0.0423921513203
1.0054, -0.0423368428738
1.0055, -0.0416094085914
1.0056, -0.0414157430838
1.0057, -0.0407258964191
1.0058, -0.0406959973546
1.0059, -0.0405593497464
1.006, -0.0400284403667
1.0061, -0.0399470154812
1.0062, -0.0392726916395
1.0063, -0.0386778591531
1.0064, -0.0386623827996
1.0065, -0.0380177654694
1.0066, -0.0381243226944
1.0067, -0.0374718040438
1.0068, -0.037632137537
1.0069, -0.0371001100736
1.007, -0.0365840972488
1.0071, -0.0365772697494
1.0072, -0.0359717796911
1.0073, -0.0354615988426
1.0074, -0.0356583342885
1.0075, -0.0351566145159
1.0076, -0.034596617998
1.0077, -0.0348580322848
1.0078, -0.034319899157
1.0079, -0.0337829868346
1.008, -0.0340605788893
1.0081, -0.0335625072989
1.0082, -0.0330451672076
1.0083, -0.0326941411613
1.0084, -0.03289822184
1.0085, -0.0325371987865
1.0086, -0.0321109300904
1.0087, -0.0316925357952
1.0088, -0.0320048090089
1.0089, -0.0314068350527
1.009, -0.0310406386698
1.0091, -0.0304638932349
1.0092, -0.0307827491532
1.0093, -0.0304166687684
1.0094, -0.0300191229672
1.0095, -0.0296281706172
1.0096, -0.029221864638
1.0097, -0.029690045078
1.0098, -0.0292504544851
1.0099, -0.028885313133
1.01, -0.028527621814
1.0101, -0.0281134403455
1.0102, -0.0285859414477
1.0103, -0.0282788797638
1.0104, -0.0278873802366
1.0105, -0.0274983934842
1.0106, -0.0271342997331
1.0107, -0.0267419219556
1.0108, -0.0270426065939
1.0109, -0.0266339444569
1.011, -0.0264635463208
1.0111, -0.0261933139269
1.0112, -0.0258378802685
1.0113, -0.0254630851554
1.0114, -0.0250186759857
1.0115, -0.0255746574364
1.0116, -0.0252915703368
1.0117, -0.0249946664922
1.0118, -0.0247992978625
1.0119, -0.0245761139651
1.012, -0.0243919334297
1.0121, -0.0241173907551
1.0122, -0.0237615214335
1.0123, -0.0241096543543
1.0124, -0.0236717721277
1.0125, -0.0234445656451
1.0126, -0.023154144795
1.0127, -0.0230039227512
1.0128, -0.0227386515386
1.0129, -0.022581233208
1.013, -0.0223570609186
1.0131, -0.0221871906132
1.0132, -0.0226918104967
1.0133, -0.0224585854696
1.0134, -0.0220077707978
1.0135, -0.0218737132065
1.0136, -0.0215644430571
1.0137, -0.0211418931997
1.0138, -0.0209017452503
1.0139, -0.0206576181108
1.014, -0.0203461746012
1.0141, -0.020125747821
1.0142, -0.020627880047
1.0143, -0.0203208815592
1.0144, -0.0200764640971
1.0145, -0.0197787320916
1.0146, -0.0195229695142
1.0147, -0.0192976091879
1.0148, -0.0191207792596
1.0149, -0.0187446817831
1.015, -0.0187546079878
1.0151, -0.0185361420347
1.0152, -0.0182669534236
1.0153, -0.0181863860209
1.0154, -0.0187272400669
1.0155, -0.0186179838458
1.0156, -0.018232050662
1.0157, -0.0180531547765
1.0158, -0.0177112097357
1.0159, -0.017432499734
1.016, -0.0172835933511
1.0161, -0.0172113908336
1.0162, -0.0170118371215
1.0163, -0.0167622016323
1.0164, -0.0167073333444
1.0165, -0.0164981838995
1.0166, -0.0164423541246
1.0167, -0.0163296129443
1.0168, -0.0165837438222
1.0169, -0.0164420584519
1.017, -0.0161268063135
1.0171, -0.015991250956
1.0172, -0.0157824990047
1.0173, -0.0160361385805
1.0174, -0.0157532886832
