# time, value
1., 0.000290328339382
1.001, 0.000523380147629
1.002, 0.000714756640174
1.003, 0.00087386175388
1.004, 0.00101183248629
1.005, 0.00112596900489
1.006, 0.00122574704792
1.007, 0.0013169604394
1.008, 0.00140762659558
1.009, 0.00149615793734
1.01, 0.00156162281688
1.011, 0.00159463709301
1.012, 0.00165640118468
1.013, 0.00171396462049
1.014, 0.00179296721497
1.015, 0.00182754702658
1.016, 0.00194139332332
1.017, 0.00199135199675
1.018, 0.0020421152041
1.019, 0.002103634755
1.02, 0.00202994714278
1.021, 0.00211360869867
1.022, 0.00220345183954
1.023, 0.00215762013257
1.024, 0.00225635216346
1.025, 0.002211049408
1.026, 0.00234848292075
1.027, 0.002289912744
1.028, 0.00243203053536
1.029, 0.00235996486364
1.03, 0.00230991562686
1.031, 0.002499328
1.032, 0.00243685365
1.033, 0.0023826588
1.034, 0.00255939444444
1.035, 0.002514016
1.036, 0.00244991594444
1.037, 0.00239357355556
1.038, 0.0026609285625
1.039, 0.0026267
1.04, 0.00257401075
1.041, 0.002531823
1.042, 0.00282997435714
1.043, 0.00280453485714
1.044, 0.00270422678571
1.045, 0.00266547
1.046, 0.0026358305
1.047, 0.00262335085714
1.048, 0.0025835145
1.049, 0.00292541666667
1.05, 0.002873
1.051, 0.00281666666667
1.052, 0.00278691666667
1.053, 0.002709
1.054, 0.00270416666667
1.055, 0.00266466666667
1.056, 0.00260775
1.057, 0.0030798
1.058, 0.0030503
1.059, 0.003
1.06, 0.0028975
1.061, 0.0028458
1.062, 0.0028161
1.063, 0.0027648
1.064, 0.002743
1.065, 0.0026136
1.066, 0.0025929
1.067, 0.0024956
1.068, 0.0024564
1.069, 0.00298375
1.07, 0.002902125
1.071, 0.002871
1.072, 0.002801375
1.073, 0.002738
1.074, 0.00264375
1.075, 0.002489
1.076, 0.002415875
1.077, 0.00236925
1.078, 0.002261375
1.079, 0.00219
1.08, 0.002106
1.081, 0.00208075
1.082, 0.00201275
1.083, 0.001974
1.084, 0.0019125
1.085, 0.00188125
1.086, 0.00180525
1.087, 0.00234666666667
1.088, 0.0023585
1.089, 0.002325
1.09, 0.0022295
1.091, 0.00210066666667
1.092, 0.002046
1.093, 0.00194266666667
1.094, 0.0019
1.095, 0.001808
1.096, 0.00176216666667
1.097, 0.001715
1.098, 0.001683
1.099, 0.00163333333333
1.1, 0.001515
1.101, 0.001445
1.102, 0.00137333333333
1.103, 0.00133466666667
1.104, 0.0013125
1.105, 0.001272
1.106, 0.00119483333333
1.107, 0.001152
1.108, 0.00109
1.109, 0.00106333333333
1.11, 0.001036
1.111, 0.00104533333333
1.112, 0.001017
1.113, 0.000969
1.114, 0.000939166666667
1.115, 0.000947333333333
1.116, 0.000936
1.117, 0.000885
1.118, 0.001309
1.119, 0.00129
1.12, 0.00117975
1.121, 0.0011895
1.122, 0.00119925
1.123, 0.001178
1.124, 0.0010625
1.125, 0.0010395
1.126, 0.00098425
1.127, 0.00096
1.128, 0.0009675
1.129, 0.000975
1.13, 0.00088425
1.131, 0.000858
1.132, 0.0008645
1.133, 0.000804
1.134, 0.00070875
1.135, 0.000714
1.136, 0.00071925
1.137, 0.000621
1.138, 0.0006255
1.139, 0.00056
1.14, 0.000564
1.141, 0.000568
1.142, 0.000572
1.143, 0.000576
1.144, 0.00058
1.145, 0.000584
1.146, 0.000588
1.147, 0.000592
1.148, 0.000596
1.149, 0.0006
1.15, 0.00056625
1.151, 0.000456
1.152, 0.000459
1.153, 0.000462
1.154, 0.00042625
1.155, 0.000429
1.156, 0.0003925
1.157, 0.000316
1.158, 0.000318
1.159, 0.00032
1.16, 0.000322
1.161, 0.000324
1.162, 0.0002445
1.163, 0.000205
1.164, 0.000165
1.165, 0.000166
1.166, 0.000167
1.167, 0.000168
1.168, 0.000169
1.169, 0.00017
1.17, 0.000171
1.171, 0.000172
1.172, 0.00012975
1.173, 0.0001305
1.174, 0.00013125
1.175, 0.000132
1.176, 0.00013275
1.177, 0.0001335
1.178, 0.00013425
1.179, 0.000135
1.18, 9.05e-05
1.181, 9.1e-05
1.182, 9.15e-05
1.183, 9.2e-05
1.184, 9.25e-05
1.185, 9.3e-05
1.186, 9.35e-05
1.187, 9.4e-05
1.188, 9.45e-05
1.189, 9.5e-05
1.19, 9.55e-05
1.191, 9.6e-05
1.192, 9.65e-05
1.193, 9.7e-05
1.194, 0.
1.195, 0.
1.196, 0.
1.197, 0.
1.198, 0.
