# time, value
1., 1.82472336745e-05
1.001, 2.1611669426e-05
1.002, 2.37117457773e-05
1.003, 2.49551428572e-05
1.004, 2.45156716434e-05
1.005, 2.34649285719e-05
1.006, 1.946875e-05
1.007, 1.75238095249e-05
1.008, 1.4594594594e-05
1.009, 1.13636363641e-05
1.01, 7.51666666666e-06
1.011, 5.35714285692e-06
1.012, 4.25000000022e-06
1.013, 3.79166666667e-06
1.014, 2.38636363636e-06
1.015, 1.52380952425e-06
1.016, 4.47368420719e-07
1.017, 4.99999999778e-07
1.018, -2.22044604925e-16
1.019, 0.
1.02, 0.
1.021, 0.
1.022, 2.22044604925e-16
1.023, 2.22044604925e-16
1.024, 2.22044604925e-16
1.025, 2.22044604925e-16
1.026, 0.
1.027, 0.
1.028, 2.22044604925e-16
1.029, 0.
1.03, 2.22044604925e-16
1.031, 0.
1.032, 0.
1.033, 0.
1.034, 0.
1.035, 0.
1.036, 0.
1.037, 0.
1.038, 0.
1.039, 0.
1.04, 0.
1.041, 0.
1.042, 2.22044604925e-16
1.043, 2.22044604925e-16
1.044, 2.22044604925e-16
1.045, 2.22044604925e-16
1.046, 2.22044604925e-16
1.047, 2.22044604925e-16
1.048, 2.22044604925e-16
1.049, 0.
1.05, 0.
1.051, 0.
1.052, 0.
1.053, 0.
1.054, 0.
1.055, 0.
1.056, 0.
1.057, 0.
1.058, 0.
1.059, 0.
1.06, 0.
1.061, 0.
1.062, 0.
1.063, 0.
1.064, 0.
1.065, 0.
1.066, 0.
1.067, 0.
1.068, 0.
1.069, 0.
1.07, 0.
1.071, 0.
1.072, 0.
1.073, 0.
1.074, 0.
1.075, 0.
1.076, 0.
1.077, 0.
1.078, 0.
1.079, 0.
1.08, 0.
1.081, 0.
1.082, 0.
1.083, 0.
1.084, 0.
1.085, 0.
1.086, 0.
1.087, 0.
1.088, 0.
1.089, 0.
1.09, 0.
1.091, 0.
1.092, 0.
1.093, 0.
1.094, 0.
1.095, 0.
1.096, 0.
1.097, 0.
1.098, 0.
1.099, 0.
1.1, 0.
1.101, 0.
1.102, 0.
1.103, 0.
1.104, 0.
1.105, 0.
1.106, 0.
1.107, 0.
1.108, 0.
1.109, 0.
1.11, 0.
1.111, 0.
1.112, 0.
1.113, 0.
1.114, 0.
1.115, 0.
1.116, 0.
1.117, 0.
1.118, 0.
1.119, 0.
1.12, 0.
1.121, 0.
1.122, 0.
1.123, 0.
1.124, 0.
1.125, 0.
1.126, 0.
1.127, 0.
1.128, 0.
1.129, 0.
1.13, 0.
1.131, 0.
1.132, 0.
1.133, 0.
1.134, 0.
1.135, 0.
1.136, 0.
1.137, 0.
1.138, 0.
1.139, 0.
1.14, 0.
1.141, 0.
1.142, 0.
1.143, 0.
1.144, 0.
1.145, 0.
1.146, 0.
1.147, 0.
1.148, 0.
1.149, 0.
1.15, 0.
1.151, 0.
1.152, 0.
1.153, 0.
1.154, 0.
1.155, 0.
1.156, 0.
1.157, 0.
1.158, 0.
1.159, 0.
1.16, 0.
1.161, 0.
1.162, 0.
1.163, 0.
1.164, 0.
1.165, 0.
1.166, 0.
1.167, 0.
1.168, 0.
1.169, 0.
1.17, 0.
1.171, 0.
1.172, 0.
1.173, 0.
1.174, 0.
1.175, 0.
1.176, 0.
1.177, 0.
1.178, 0.
1.179, 0.
1.18, 0.
1.181, 0.
1.182, 0.
1.183, 0.
1.184, 0.
1.185, 0.
1.186, 0.
1.187, 0.
1.188, 0.
1.189, 0.
1.19, 0.
1.191, 0.
1.192, 0.
1.193, 0.
1.194, 0.
1.195, 0.
1.196, 0.
1.197, 0.
1.198, 0.
